mana;name;type;order
W;ElspethsSmite;Instant;237
W;EnduringBondwarden;Creature;325
W;KorHalberd;Artifact;314
W;SurgeofSalvation;Instant;229
W;TarkirDuneshaper;Creature;247
;BurnishedDunestomper;Creature;
1W;AerialBoost;Instant;293
1W;AlabasterHostSanctifier;Creature;274
1W;AngelicIntervention;Instant;284
1W;DuskLegionDuelist;Creature;83
1W;InvasionofGobakhan;Battle;114
;LightshieldArray;Enchantment;
1W;NornsInquisitor;Creature;87
1W;RealmbreakersGrasp;Enchantment;136
1W;SunBlessedGuardian;Creature;101
;FurnaceBlessedConqueror;Creature;
1W;SundertheGateway;Sorcery;261
1W;SwordswornCavalier;Creature;171
2W;AttentiveSkywarden;Creature;266
2W;CutShort;Instant;283
2W;GuardianofGhirapur;Creature;53
2W;InvasionofBelenon;Battle;115
;BelenonWarAnthem;Enchantment;
2W;InvasionofDominaria;Battle;205
;SerraFaithkeeper;Creature;
2W;InvasionofTheros;Battle;276
;EpharaEverSheltering;Legendary Enchantment Creature;
2W;KithkinBillyrider;Creature;302
2W;MonasteryMentor;Creature;143
2W;PhyrexianAwakening;Enchantment;120
2W;PhyrexianCensor;Creature;138
2W;PhyrexianPegasus;Creature;
2W;Scrollshift;Instant;291
1WW;SealfromExistence;Enchantment;142
2W;SeedpodCaretaker;Creature;
2W;SeraphofNewCapenna;Creature;249
;SeraphofNewPhyrexia;Creature;
2W;SigiledSentinel;Creature;186
2W;ZhalfirinLancer;Creature;179
2WW;ArchangelElspeth;Legendary Planeswalker;21
3W;BolaSlinger;Creature;292
2WW;EleshNorn;Legendary Creature;9
;TheArgentEtchings;Enchantment;
2WW;HeliodtheRadiantDawn;Legendary Enchantment Creature;250
;HeliodtheWarpedEclipse;Legendary Enchantment Creature;
2WW;InspiredCharge;Instant;315
3W;KnightoftheNewCoalition;Creature;174
3W;TillerofFlesh;Creature;122
3WW;BoonBringerValkyrie;Creature;6
3WW;EssenceofOrthodoxy;Creature;
4W;GoldenScaleAeronaut;Creature;282
4W;InfectedDefector;Creature;281
4W;KnightErrantofEos;Creature;231
3WW;Sunfall;Sorcery;2
5W;AlabasterHostIntercessor;Creature;187
XXW;ProgenitorExarch;Creature;47
U;CaptiveWeird;Creature;201
;CompleatedConjurer;Creature;
U;OmenHawker;Creature;230
1U;AssimilateEssence;Instant;290
1U;ChangetheEquation;Instant;331
1U;DisturbingConversion;Enchantment;313
1U;ExpeditionLookout;Creature;312
1U;FaerieMastermind;Creature;86
1U;MomentofTruth;Instant;304
1U;Negate;Instant;287
1U;OracleofTragedy;Creature;105
1U;OrderoftheMirror;Creature;182
;OrderoftheAlabasterHost;Creature;
1U;RonaHeraldofInvasion;Legendary Creature;111
;RonaTolarianObliterator;Legendary Creature;
1U;SaibaCryptomancer;Creature;218
1U;SkyclaveAerialist;Creature;100
;SkyclaveInvader;Creature;
1U;StasisField;Enchantment;280
1U;ZephyrWinder;Creature;
1U;ZhalfirinShapecraft;Instant;260
2U;ChromeHostSeedshark;Creature;26
2U;EpharasDispersal;Instant;153
2U;EyesofGitaxias;Sorcery;152
2U;FurtiveAnalyst;Creature;311
2U;InvasionofSegovia;Battle;88
;CaetusSeaTyrantofSegovia;Legendary Creature;
2U;PreeningChampion;Creature;135
2U;RefereeSquad;Creature;
2U;XerexStrobeKnight;Creature;140
3U;InvasionofKamigawa;Battle;127
;RooftopSaboteurs;Creature;
3U;InvasionofVryn;Battle;165
;OverloadedMageRing;Artifact;
3U;MeetingofMinds;Instant;137
3U;OculusWhelp;Creature;298
3U;ProtocolKnight;Creature;224
2UU;SeeDouble;Instant;41
3U;TemporalCleansing;Sorcery;170
3U;WickedSlumber;Instant;256
2UU;ZephyrSinger;Creature;39
4U;AstralWingspan;Enchantment;159
4U;CorruptionofTowashi;Enchantment;134
4U;HaloChargedSkaab;Creature;156
3UU;InvasionofArcavios;Battle;340
;InvocationoftheFounders;Enchantment;
3UU;JinGitaxias;Legendary Creature;99
;TheGreatSynthesis;Enchantment;
4UU;ArtisticRefusal;Instant;107
5U;CompletetheCircuit;Instant;341
5U;ThunderheadSquadron;Creature;301
4UU;TidalTerror;Creature;217
6UU;InterdisciplinaryMascot;Creature;
XUUUU;TranscendentMessage;Instant;56
