mana;name;type;order
W;Hotshot Mechanic;Artifact Creature;157
W;Light the Way;Instant;238
W;Lucky Offering;Sorcery;274
W;Mothrider Patrol;Creature;216
W;Regent's Authority;Instant;243
1W;Ancestral Katana;Artifact;273
WW;Banishing Slash;Sorcery;51
1W;Eiganjo Exemplar;Enchantment Creature;240
1W;Era of Enlightenment;Enchantment;165
;Hand of Enlightenment;Enchantment Creature;
1W;Kitsune Ace;Creature;203
1W;Light-Paws, Emperor's Voice;Legendary Creature;271
1W;Lion Sash;Artifact Creature;19
1W;Michiko's Reign of Truth;Enchantment;38
;Portrait of Michiko;Enchantment Creature;
1W;Selfless Samurai;Creature;91
1W;Spirited Companion;Enchantment Creature;100
1W;Wanderer's Intervention;Instant;141
2W;Blade-Blizzard Kitsune;Creature;106
2W;Born to Drive;Enchantment;241
2W;Cloudsteel Kirin;Artifact Creature;50
2W;Dragonfly Suit;Artifact;215
2W;Golden-Tail Disciple;Enchantment Creature;140
2W;Imperial Recovery Unit;Artifact;118
2W;Imperial Subduer;Creature;239
2W;Intercessor's Arrest;Enchantment;94
2W;Norika Yamazaki, the Poet;Legendary Creature;101
2W;The Fall of Lord Konda;Enchantment;93
;Fragment of Konda;Enchantment Creature;
2W;The Restoration of Eiganjo;Enchantment;22
;Architect of Restoration;Enchantment Creature;
2W;Touch the Spirit Realm;Enchantment;48
3W;Befriending the Moths;Enchantment;214
;Imperial Moth;Enchantment Creature;
3W;Go-Shintai of Shared Purpose;Legendary Enchantment Creature;117
3W;Kyodai, Soul of Kamigawa;Legendary Creature;20
3W;Repel the Vile;Instant;168
3W;Seven-Tail Mentor;Creature;156
2WW;The Wandering Emperor;Legendary Planeswalker;6
3W;When We Were Young;Instant;213
3WW;Ao, the Dawn Sky;Legendary Creature;7
1WWWW;Invoke Justice;Sorcery;49
4W;Sunblade Samurai;Enchantment Creature;135
4WW;Farewell;Sorcery;45
5W;Imperial Oath;Sorcery;167
3WWWW;Brilliant Restoration;Sorcery;272
6W;Sky-Blessed Samurai;Enchantment Creature;198
XW;March of Otherworldly Light;Instant;61
U;Moonsnare Prototype;Artifact;212
U;Network Disruptor;Artifact Creature;195
U;Spell Pierce;Instant;269
U;Thousand-Faced Shadow;Creature;60
1U;Armguard Familiar;Artifact Creature;237
UU;Disruption Protocol;Instant;217
UU;Essence Capture;Instant;155
1U;Go-Shintai of Lost Wisdom;Legendary Enchantment Creature;122
1U;Mnemonic Sphere;Artifact;142
1U;Mobilizer Mech;Artifact;196
1U;Moon-Circuit Hacker;Enchantment Creature;134
1U;Planar Incision;Instant;218
1U;Short Circuit;Enchantment;244
1U;The Modern Age;Enchantment;139
;Vector Glider;Enchantment Creature;
1U;The Reality Chip;Legendary Artifact Creature;17
2U;Acquisition Octopus;Artifact Creature;69
2U;Covert Technician;Artifact Creature;197
2U;Discover the Impossible;Instant;280
2U;Guardians of Oboro;Creature;236
2U;Mindlink Mech;Artifact;68
2U;Moonfolk Puzzlemaker;Artifact Creature;143
2U;Prosperous Thief;Creature;133
2U;Suit Up;Instant;219
2U;Tameshi, Reality Architect;Legendary Creature;33
2U;Thirst for Knowledge;Instant;98
2UU;Anchor to Reality;Sorcery;282
3U;Futurist Operative;Creature;154
3U;Futurist Sentinel;Artifact;260
3U;Inventive Iteration;Enchantment;27
;Living Breakthrough;Enchantment Creature;
3U;Moonsnare Specialist;Creature;89
3U;Skyswimmer Koi;Creature;170
3U;Tamiyo's Compleation;Enchantment;132
2UU;Tezzeret, Betrayer of Flesh;Legendary Planeswalker;16
3UU;Behold the Unspeakable;Enchantment;28
;Vision of the Unspeakable;Enchantment Creature;
1UUUU;Invoke the Winds;Sorcery;18
4U;Replication Specialist;Creature;99
4U;Saiba Trespassers;Artifact Creature;258
4UU;Kairi, the Swirling Sky;Legendary Creature;5
5UU;Jin-Gitaxias, Progress Tyrant;Legendary Creature;90
5UU;Mirrorshell Crab;Artifact Creature;169
